"Zeitstempel","Your height in cm? *","Are you male or female?"
"2020/10/19 12:44:33 PM MEZ","185","Male"
"2020/10/19 12:44:41 PM MEZ","188","Male"
"2020/10/19 12:45:24 PM MEZ","181","Male"
"2020/10/19 12:50:47 PM MEZ","160","Female"
"2020/10/19 12:51:35 PM MEZ","170","Female"
"2020/10/19 12:52:31 PM MEZ","158","Female"
"2020/10/19 12:52:35 PM MEZ","","Female"
"2020/10/19 12:52:52 PM MEZ","172","Female"
"2020/10/19 12:55:01 PM MEZ","178","Male"
"2020/10/19 12:55:50 PM MEZ","184","Male"
"2020/10/19 12:55:53 PM MEZ","172","Female"
"2020/10/19 12:55:55 PM MEZ","180","Male"
"2020/10/19 12:55:57 PM MEZ","171","Male"
"2020/10/19 12:55:57 PM MEZ","167","Female"
"2020/10/19 12:55:58 PM MEZ","166","Female"
"2020/10/19 12:56:01 PM MEZ","159","Female"
"2020/10/19 12:56:01 PM MEZ","180","Male"
"2020/10/19 12:56:02 PM MEZ","180","Male"
"2020/10/19 12:56:05 PM MEZ","172","Female"
"2020/10/19 12:56:08 PM MEZ","174","Female"
"2020/10/19 12:56:09 PM MEZ","189","Male"
"2020/10/19 12:56:11 PM MEZ","158","Female"
"2020/10/19 12:56:15 PM MEZ","185","Male"
"2020/10/19 12:56:16 PM MEZ","162","Female"
"2020/10/19 12:56:27 PM MEZ","164","Female"
"2020/10/19 12:57:38 PM MEZ","204","Male"
"2020/10/19 12:58:26 PM MEZ","176","Female"
"2020/10/19 12:58:56 PM MEZ","506","Female"
"2020/10/19 1:24:59 PM MEZ","500","Female"
"2020/10/19 1:25:12 PM MEZ","201","Male"
"2020/10/19 1:25:27 PM MEZ","300","Female"
"2020/10/19 1:43:58 PM MEZ","171","Male"
"2020/10/19 2:04:31 PM MEZ","171","Male"
"2020/10/19 3:57:11 PM MEZ","178","Male"
"2020/10/19 9:32:30 PM MEZ","160","Female"
"2020/10/20 3:04:30 PM MEZ","167","Female"
"2020/10/20 7:16:36 PM MEZ","178","Female"
"2020/10/21 4:12:38 PM MEZ","180","Male"
"2020/10/21 4:13:29 PM MEZ","180","Male"
"2020/10/21 4:13:34 PM MEZ","180","Male"
