The copyright to the intellectual property of this file is held by www.climatedata.info,,
Title,"Temperature, CO2 and Milankovitch cycles - Vostok",
Source,: http://www.ncdc.noaa.gov/paleo/indexice.html,
Source,http://www1.ncdc.noaa.gov/pub/data/paleo/climate_forcing/orbital_variations/berger_insolation/,
BP,Temp,CO2
-414000,0.837,285.26
-413900,0.827,284.977
-413800,0.818,284.694
-413700,0.809,284.412
-413600,0.801,284.129
-413500,0.852,283.846
-413400,0.904,283.563
-413300,0.956,283.281
-413200,1.008,282.998
-413100,1.06,282.715
-413000,1.088,282.432
-412900,1.101,282.15
-412800,1.115,281.867
-412700,1.128,281.584
-412600,1.141,281.302
-412500,1.155,281.019
-412400,1.17,280.736
-412300,1.186,280.453
-412200,1.201,280.171
-412100,1.216,279.888
-412000,1.232,279.605
-411900,1.253,279.322
-411800,1.274,279.04
-411700,1.296,278.757
-411600,1.317,278.474
-411500,1.338,278.191
-411400,1.327,277.909
-411300,1.314,277.626
-411200,1.3,277.343
-411100,1.287,277.061
-411000,1.273,276.778
-410900,1.407,276.495
-410800,1.58,276.427
-410700,1.754,276.836
-410600,1.927,277.245
-410500,2.101,277.654
-410400,2.047,278.063
-410300,1.946,278.472
-410200,1.846,278.881
-410100,1.745,279.29
-410000,1.645,279.699
-409900,1.571,280.108
-409800,1.499,280.518
-409700,1.427,280.927
-409600,1.355,281.336
-409500,1.283,281.745
-409400,1.25,282.154
-409300,1.218,282.563
-409200,1.186,282.972
-409100,1.154,283.381
-409000,1.123,283.672
-408900,1.087,283.546
-408800,1.052,283.421
-408700,1.016,283.295
-408600,0.981,283.169
-408500,0.945,283.043
-408400,0.925,282.917
-408300,0.907,282.791
-408200,0.89,282.665
-408100,0.872,282.54
-408000,0.854,282.414
-407900,0.829,282.288
-407800,0.801,282.162
-407700,0.774,282.036
-407600,0.746,281.91
-407500,0.719,281.784
-407400,0.68,281.659
-407300,0.637,281.533
-407200,0.594,281.407
-407100,0.551,281.281
-407000,0.508,281.155
-406900,0.47,281.029
-406800,0.435,280.903
-406700,0.4,280.777
-406600,0.365,280.652
-406500,0.331,280.526
-406400,0.3,280.4
-406300,0.275,280.274
-406200,0.25,280.148
-406100,0.224,280.022
-406000,0.199,279.896
-405900,0.168,279.771
-405800,0.114,279.686
-405700,0.06,279.655
-405600,0.007,279.624
-405500,-0.047,279.593
-405400,-0.1,279.562
-405300,-0.134,279.531
-405200,-0.169,279.499
-405100,-0.203,279.468
-405000,-0.237,279.437
-404900,-0.271,279.406
-404800,-0.293,279.375
-404700,-0.31,279.343
-404600,-0.327,279.312
-404500,-0.344,279.281
-404400,-0.361,279.25
-404300,-0.388,279.219
-404200,-0.428,279.188
-404100,-0.467,279.156
-404000,-0.507,279.125
-403900,-0.546,279.094
-403800,-0.592,279.063
-403700,-0.672,279.032
-403600,-0.752,279.001
-403500,-0.831,278.969
-403400,-0.911,278.938
-403300,-0.991,278.907
-403200,-1.041,278.876
-403100,-1.081,278.845
-403000,-1.121,278.814
-402900,-1.161,278.782
-402800,-1.201,278.751
-402700,-1.232,278.72
-402600,-1.237,278.689
-402500,-1.242,278.658
-402400,-1.248,278.627
-402300,-1.253,278.595
-402200,-1.259,278.564
-402100,-1.235,278.533
-402000,-1.204,278.502
-401900,-1.173,278.471
-401800,-1.141,278.44
-401700,-1.11,278.408
-401600,-1.095,278.377
-401500,-1.11,278.346
-401400,-1.125,278.315
-401300,-1.14,278.284
-401200,-1.155,278.253
-401100,-1.17,278.221
-401000,-1.243,278.19
-400900,-1.318,278.159
-400800,-1.394,278.128
-400700,-1.469,278.097
-400600,-1.545,278.066
-400500,-1.586,278.034
-400400,-1.597,278.003
-400300,-1.608,277.919
-400200,-1.619,277.83
-400100,-1.629,277.74
-400000,-1.64,277.65
-399900,-1.642,277.56
-399800,-1.644,277.471
-399700,-1.646,277.381
-399600,-1.647,277.291
-399500,-1.649,277.201
-399400,-1.653,277.112
-399300,-1.659,277.022
-399200,-1.664,276.932
-399100,-1.67,276.842
-399000,-1.675,276.753
-398900,-1.684,276.663
-398800,-1.728,276.573
-398700,-1.772,276.483
-398600,-1.815,276.394
-398500,-1.859,276.304
-398400,-1.903,276.214
-398300,-1.943,276.124
-398200,-1.981,276.035
-398100,-2.019,275.945
-398000,-2.057,275.855
-397900,-2.095,275.765
-397800,-2.131,275.676
-397700,-2.144,275.586
-397600,-2.156,275.496
-397500,-2.169,275.406
-397400,-2.181,275.317
-397300,-2.194,275.227
-397200,-2.232,275.137
-397100,-2.293,275.047
-397000,-2.354,274.958
-396900,-2.415,274.868
-396800,-2.476,274.778
-396700,-2.536,274.648
-396600,-2.583,274.245
-396500,-2.629,273.842
-396400,-2.675,273.439
-396300,-2.72,273.036
-396200,-2.766,272.633
-396100,-2.828,272.23
-396000,-2.936,271.828
-395900,-3.044,271.425
-395800,-3.152,271.022
-395700,-3.26,270.619
-395600,-3.368,270.216
-395500,-3.487,269.813
-395400,-3.618,269.41
-395300,-3.75,269.007
-395200,-3.881,268.605
-395100,-4.013,268.202
-395000,-4.144,267.799
-394900,-4.273,267.396
-394800,-4.397,266.993
-394700,-4.521,266.59
-394600,-4.645,266.093
-394500,-4.769,265.353
-394400,-4.892,264.614
-394300,-5.016,263.874
-394200,-5.076,263.135
-394100,-5.133,262.395
-394000,-5.191,261.656
-393900,-5.248,260.916
-393800,-5.306,260.177
-393700,-5.363,259.437
-393600,-5.395,258.697
-393500,-5.382,257.958
-393400,-5.368,257.218
-393300,-5.354,256.479
-393200,-5.341,255.739
-393100,-5.327,255
-393000,-5.314,254.26
-392900,-5.295,253.521
-392800,-5.273,252.781
-392700,-5.252,252.042
-392600,-5.23,251.302
-392500,-5.209,250.562
-392400,-5.188,250.337
-392300,-5.181,250.606
-392200,-5.246,250.874
-392100,-5.312,251.143
-392000,-5.377,251.411
-391900,-5.442,251.68
-391800,-5.507,251.948
-391700,-5.573,252.217
-391600,-5.579,252.485
-391500,-5.542,252.754
-391400,-5.506,253.022
-391300,-5.47,253.291
-391200,-5.433,253.559
-391100,-5.397,253.828
-391000,-5.36,254.096
-390900,-5.357,254.365
-390800,-5.354,254.633
-390700,-5.351,254.902
-390600,-5.348,255.171
-390500,-5.345,255.291
-390400,-5.342,255.393
-390300,-5.348,255.496
-390200,-5.363,255.598
-390100,-5.378,255.7
-390000,-5.394,255.802
-389900,-5.409,255.905
-389800,-5.425,256.007
-389700,-5.44,256.109
-389600,-5.382,256.211
-389500,-5.324,256.313
-389400,-5.266,256.416
-389300,-5.208,256.518
-389200,-5.15,256.62
-389100,-5.093,256.722
-389000,-5.065,256.825
-388900,-5.057,256.927
-388800,-5.049,257.029
-388700,-5.041,257.131
-388600,-5.033,257.234
-388500,-5.025,257.336
-388400,-5.041,257.438
-388300,-5.101,257.54
-388200,-5.162,257.643
-388100,-5.222,257.745
-388000,-5.282,257.847
-387900,-5.342,257.949
-387800,-5.4,258.052
-387700,-5.41,258.154
-387600,-5.419,258.256
-387500,-5.429,258.358
-387400,-5.438,258.461
-387300,-5.447,258.563
-387200,-5.457,258.665
-387100,-5.48,258.767
-387000,-5.51,258.87
-386900,-5.539,258.972
-386800,-5.569,259.074
-386700,-5.599,259.176
-386600,-5.629,259.279
-386500,-5.637,259.556
-386400,-5.591,259.879
-386300,-5.546,260.202
-386200,-5.5,260.526
-386100,-5.454,260.849
-386000,-5.408,261.172
-385900,-5.363,261.496
-385800,-5.233,261.819
-385700,-5.097,262.142
-385600,-4.962,262.466
-385500,-4.827,262.789
-385400,-4.692,263.112
-385300,-4.556,263.436
-385200,-4.473,263.759
-385100,-4.397,264.082
-385000,-4.321,264.406
-384900,-4.245,264.668
-384800,-4.169,264.312
-384700,-4.084,263.955
-384600,-3.928,263.599
-384500,-3.772,263.243
-384400,-3.616,262.886
-384300,-3.46,262.53
-384200,-3.304,262.174
-384100,-3.156,261.817
-384000,-3.013,261.461
-383900,-2.87,261.105
-383800,-2.727,260.748
-383700,-2.584,260.392
-383600,-2.518,260.036
-383500,-2.561,259.679
-383400,-2.605,259.323
-383300,-2.648,258.967
-383200,-2.691,258.61
-383100,-2.733,258.254
-383000,-2.772,257.898
-382900,-2.811,257.541
-382800,-2.85,257.185
-382700,-2.89,256.829
-382600,-2.953,256.472
-382500,-3.105,256.116
-382400,-3.257,255.76
-382300,-3.409,255.403
-382200,-3.561,255.047
-382100,-3.712,254.691
-382000,-3.778,254.334
-381900,-3.838,253.978
-381800,-3.899,253.622
-381700,-3.96,253.265
-381600,-4.02,252.909
-381500,-4.075,252.553
-381400,-4.124,252.196
-381300,-4.172,251.84
-381200,-4.221,251.484
-381100,-4.27,251.127
-381000,-4.319,250.771
-380900,-4.382,250.415
-380800,-4.446,250.058
-380700,-4.51,249.702
-380600,-4.574,249.346
-380500,-4.638,248.989
-380400,-4.692,248.633
-380300,-4.727,248.277
-380200,-4.762,247.92
-380100,-4.797,247.564
-380000,-4.832,247.208
-379900,-4.867,246.851
