

time	temperature
19791218	-6.8
19791219	-11.4
19791220	-15.2
19791221	-13.1
19791222	-2.5
19791223	-5.5
19791224	-16.2
19791225	-20.3
19791226	-12.2
19791227	-13.8
19791228	-7.4
19791229	-10.6
19791230	-8.4
19791231	-11.3
19800101	-14.3
19800102	-14.3
19800103	-11.2
19800104	-13.7
19800105	-6.6
19800106	-10.6
19800107	-9.2
19800108	-19.7
19800109	-20.1
19800110	-16.4
19800111	-18.4
19800112	-22.4
19800113	-16.3
19800114	-16.7
19800115	-7
19800116	-4.1
19800117	-6.7
19800118	-13.2
19800119	-17.4
19800120	-11.7
19800121	-11.8
19800122	-3.9
19800123	-4.7
19800124	-0.7
19800125	-2
19800126	-12
19800127	-10.7
19800128	-15.9
19800129	-12.1
19800130	-7.2
19800131	-2.5
19800201	-6.2
19800202	-10.7
19800203	-6.2
19800204	-0.5
19800205	2.7
19800206	-7.2
19800207	-5.1
19800208	-8.6
19800209	-5.5
19800210	-
19800211	-2.8
19800212	-4.9
