"Gemeindecode" "Gemeindename" "Einwohner" "Veränderung in %" "Bevölkerungs-dichte pro km²" "Ausländer in %" "0-19 Jahre" "20-64 Jahre" "65 Jahre und mehr" "Rohe Heiratssziffer" "Rohe Scheidungsziffer" "Rohe Geburtenziffer" "Rohe Sterbeziffer" "Anzahl Privathaushalte" "Durchschnittliche Haushaltsgrösse in Personen" "Gesamtfläche in km²" "Siedlungsfläche in %" "Veränderung in ha...18" "Landwirtschafts-fläche in %" "Veränderung in ha...20" "Wald und Gehölze in %" "Unproduktive Fläche in %" "Beschäftigte total" "im 1. Sektor...24" "im 2. Sektor...25" "im 3. Sektor...26" "Arbeitsstätten total" "im 1. Sektor...28" "im 2. Sektor...29" "im 3. Sektor...30" "Leerwohnungs-ziffer" "Neu gebaute Wohnungen pro 1000 Einwohner" "Sozialhilfequote" "FDP 2)" "CVP" "SP" "SVP" "EVP/CSP" "GLP" "BDP" "PdA/Sol." "GPS" "Kleine Rechtsparteien"
"1" NA NA 2016 "2010-2016" 2016 2016 2016 2016 2016 2016 2016 2016 2016 2016 2016 "2004/09" "2004/09" "1979/85-2004/09" "2004/09" "1979/85-2004/09" "2004/09" "2004/09" "2015p" "2015p" "2015p" "2015p" "2015p" "2015p" "2015p" "2015p" 2017 2015 "2016" "2015" "2015" "2015" "2015" "2015" "2015" "2015" "2015" "2015" "2015"
"2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" NA "Schweiz" 8419550 "7" 210.5 25 20.1 61.8 18.1 5 2 10.5 7.8 3682475 2.24 "41285" "7.5" "58422" "35.9" "-85071" "31.3" "25.3" "5078915" "164752" "1086130" "3828033" "675506" "55843" "96294" "523369" 1.45 6.4 "3.3" "16.3967242019" "11.645937245800001" "18.840952359300001" "29.3859546718" "2.1036022148" "4.625862433" "4.1037505305000002" "0.85559736009999998" "7.0570598846000001" "2.6342632416999998"
"4" 1 "Aeugst am Albis" 1977 "8.3881578947000008" 249.9367888748 13.10065756 20.5867476 62.82245827 16.59079413 2.5265285498 3.0318342597 7.0742799394 9.0955027792 815 2.42 "7.87" "12.5794155019" "21" "51.334180431999997" "-22" "30.876747140999999" "5.209656925" "427" "36" "14" "377" "141" "15" "13" "113" 2.581369248 0 "0.80767289249999996" "18.691659999199999" "2.0764277822000001" "18.645940488400001" "30.929249057" "3.4670629023999999" "8.4352497428" "2.6174419933999999" "0.16763820630000001" "7.0750942964999997" "4.8881776964999997"
"5" 2 "Affoltern am Albis" 11900 "7.2942025064999996" 1123.701605288 27.8487395 20.28571429 62.20168067 17.51260504 5.1677397492 1.4401897662 11.8603863097 7.370382921 5053 2.29 "10.6" "30.7547169811" "94" "40.094339622600003" "-93" "28.207547169800002" "0.94339622639999998" "6351" "52" "1198" "5101" "951" "24" "130" "797" 1.2290701817 7.0891697984 "3.4420908780000001" "14.226623564200001" "4.5853867581000003" "19.0803141391" "33.785785487399998" "5.4648270465" "7.3578595318" "4.1642988234000002" "0.19004853690000001" "6.2110470370000002" "1.7681966816000001"
"6" 3 "Bonstetten" 5435 "5.3498740066000003" 731.4939434724 14.14903404 23.80864765 60.7175713 15.47378105 5.3898336586 1.8585633305 10.7796673172 3.7171266611 2260 2.4 "7.45" "15.5704697987" "24" "55.436241610700002" "-21" "28.590604026800001" "0.40268456380000001" "991" "33" "124" "834" "269" "13" "28" "228" 1.7710049423 1.8775816748 "0.86368757039999999" "16.4726356217" "3.3785405664999999" "20.403264522299999" "29.100156025" "3.1430028805000001" "11.862397983699999" "3.8031084973999998" "0.1125180029" "6.6610657704999996" "1.9158065289999999"
"7" 4 "Hausen am Albis" 3571 "6.2797619048" 262.5735294118 14.53374405 22.73872865 60.40324839 16.85802296 4.5402951192 1.9863791146 7.6617480136 8.5130533485 1466 2.42 "13.68" "12.646198830399999" "33" "55.774853801200003" "-31" "29.0204678363" "2.5584795321999998" "1086" "109" "150" "827" "259" "40" "35" "184" 0.8583690987 3.4512510785 "1.0353753236000001" "12.793652208799999" "2.8819150359000001" "19.3933045068" "34.937369054500003" "2.5698747381000002" "8.7482726340999992" "4.6560870146999997" "0.1939107565" "8.0216645120999992" "1.825435742"
"8" 5 "Hedingen" 3687 "8.1231671553999991" 564.6248085758 14.97152156 22.48440467 62.11011663 15.40547871 7.6221587042 1.3610997686 7.3499387505 4.6277392133 1507 2.44 "6.53" "19.908116385900001" "44" "46.248085758000002" "-43" "33.2312404288" "0.61255742729999996" "1534" "30" "732" "772" "199" "12" "25" "162" 1.4366021237 3.0054644809 "1.7213114754000001" "15.805826809799999" "3.9181664111000001" "22.478008231800001" "30.114599305900001" "3.5892986845000001" "9.6259381809000004" "3.7688644984000002" "0.22798805580000001" "6.4663868937000002" "1.8400451941"
"9" 6 "Kappel am Albis" 1110 "20.915032679700001" 140.1515151515 18.01801802 26.48648649 60.18018018 13.33333333 2.7998133458 1.8665422305 18.6654223052 3.733084461 441 2.5 "7.83" "8.3014048530999993" "12" "69.987228607899993" "-12" "20.5619412516" "1.1494252873999999" "333" "58" "76" "199" "100" "22" "21" "57" 2.6209677419 0.968054211 "0.87124878989999999" "10.952541800400001" "2.7444688397000001" "10.2854247593" "48.6150988009" "6.6036142543" "5.6240499915999997" "5.1342678601999996" "0.31244722180000001" "4.3827056239999997" "2.7698023982"
"10" 7 "Knonau" 2168 "20.444444444399998" 335.085007728 17.15867159 24.07749077 60.88560886 15.03690037 3.7514654162 0.937866354 15.0058616647 7.9718640094 859 2.51 "6.51" "17.9723502304" "19" "62.211981566799999" "-21" "17.204301075299998" "2.6113671274999999" "533" "60" "139" "334" "127" "24" "16" "87" 1.509054326 3.3381020505 "0.76299475439999997" "11.456580276" "3.1260518344000001" "18.436553349" "32.876135981200001" "6.1679569168999997" "10.4215752272" "5.9449680241999996" "8.4146751999999991E-3" "5.8019185458999996" "3.4373948165999999"
