Kanton,Bevölkerung,Einwohner in 1000,Veränderung in % (2010-2016),pro km_,Altersverteilung in %,0–19,20–64,65 und mehr,Städtische Bevölkerung in % 1),Ausländer in %,Bevölkerungsbewegung (in ‰),Rohe Heiratsziffer,Rohe Scheidungsziffer,Rohe Geburtenziffer,Rohe Sterbeziffer,Anzahl Privathaushalte in 1000,Durchschnittliche Haushaltsgrösse in Personen,Hauptsprache in % 2) 3),Deutsch,Französisch,Italienisch,Rätoromanisch,Englisch,Religionszugehörigkeit in % 2),Römisch-katholisch ,Evangelisch-reformiert,Konfessionslos,Fläche in km_ 4),Siedlungsflächen in %,Veränderung in %,Landwirtschaftsflächen in %,Veränderung in %,Wald und Gehölze in %,Unproduktive Flächen in %,Arbeit und Erwerb,Nettoerwerbsquote (15-64-Jährige) 2),"Arbeitslosenquote (Jahr 2017, gemäss SECO)",Wirtschaft,Bruttoinlandprodukt pro Einwohner in Fr. (2015),Veränderung des kantonalen BIP in % (2014-2015),"Beschäftigte, Total in 1000",im 1. Sektor,im 2. Sektor,im 3. Sektor,"Arbeitsstätten, Total",im 1. Sektor,im 2. Sektor,im 3. Sektor,Landwirtschaft,Anteil Biofläche an der gesamten landwirtschaftlichen Nutzfläche in %,Landwirtschaftliche Nutzfläche pro Betrieb in ha,Bau- und Wohnungswesen,Leerwohnungsziffer,Wohneigentumsquote 2),Durchschnittliche Wohnfläche pro Bewohner in m_,Neu gebaute Wohnungen pro 1000 Einwohner,Tourismus,Ankünfte in Hotels und Kurbetrieben in 1000,Logiernächte in Hotels und Kurbetrieben in 1000,Mobilität und Verkehr,Personenwagen pro 1000 Einwohner,Hauptverkehrsmittel der Erwerbstätigen in % 2),Öffentlicher Verkehr ,Motorisierter Individualverkehr,Soziale Sicherheit,Sozialhilfequote,Gesundheit,Ärzte mit Praxistätigkeit pro 100'000 Einwohner,Spitäler,Betten pro 1000 Einwohner,Hospitalisierungsrate der Akutpflege (pro 1000 Einwohner) 5),Durchschnittliche Spitalaufenthaltsdauer bei der Akutpflege in Tagen,Bildungsstand in %,Ohne nachobligatorische Ausbildung (ab 25 Jahren) 2),Sekundarstufe II (ab 25 Jahren) 2),Tertiärstufe (ab 25 Jahren) 2),Hochschulabschlussquote,Wähleranteile der Parteien in % (NR-Wahlen),FDP,CVP,SP,SVP,EVP/CSP,GLP,BDP,PdA/Sol.,GPS,Kleine Rechtsparteien,Straftaten in ‰ der Gesamtbevölkerung,gemäss Strafgesetzbuch (StGB) ,gemäss Betäubungsmittelgesetz (BetmG) ,gemäss Ausländergesetz (AuG)
Schweiz,,"8,419.6",7.0,210.5,,20.1,61.8,18.1,84.6,25.0,,5.0,2.0,10.5,7.8,"3,682",2.2,,63.5,22.9,8.5,0.5,5.7,,36.5,24.5,24.9,"41,290",7.5,23.4,35.9,-5.4,31.3,25.3,,81.3,3.19,,"85,121",1.2,"5,078.9",164.8,"1,086.1","3,828.0","675,506","55,843","96,294","523,369",,13.5,20.1,,1.45,38.2,45.4,6.4,,"17,478","35,533",,543.3,,27.2,48.6,,3.3,,219,,4.5,147.2,5.4,,20.9,45.3,33.9,28.6,,16.4,11.6,18.8,29.4,2.1,4.6,4.1,0.9,7.1,2.6,,59.2,10.5,5.1
ZH,,"1,488.0",8.4,895.9,,19.7,63.4,16.9,99.3,26.6,,5.7,2.2,11.5,7.3,664,2.2,,82.2,3.4,5.8,0.3,8.3,,26.8,29.2,27.6," 1,729 ",21.9,18.3,41.7,-7.6,30.4,6.1,,83.5,3.54,,"96,613",2.5,"1,005.8",11.8,142.9,851.1,"117,527","3,808","13,359","100,360",,11.4,21.0,,0.90,29.4,44.5,6.8,,"2,976","5,067",,499.2,,40.7,36.8,,3.2,,257,,4.2,144.7,5.4,,16.1,42.8,41.1,22.6,,15.3,4.2,21.4,30.7,3.1,8.2,3.6,0.2,6.9,2.2,,59.8,9.5,6.8
BE,,"1,026.5",4.8,175.8,,19.1,60.6,20.3,74.6,16.1,,4.9,2.0,9.9,9.2,463,2.2,,84.1,11.0,3.2,(0.1),3.6,,15.5,51.5,19.7," 5,959 ",6.9,19.3,42.6,-3.2,31.3,19.2,,83.8,2.59,,"76,897",0.6,628.5,33.9,131.6,463.0,"79,820","11,269","11,873","56,678",,11.2,18.0,,1.84,40.3,45.3,4.7,,"2,505","4,914",,518.3,,28.0,45.2,,4.2,,220,,4.8,159.4,5.0,,18.2,51.2,30.6,24.0,,9.3,1.8,19.7,33.1,4.3,6.0,11.8,0.5,8.5,3.3,,53.9,13.6,2.5
LU,,403.4,6.8,282.3,,20.5,62.3,17.2,63.8,18.4,,5.3,1.6,10.6,7.1,172,2.3,,89.3,1.6,3.3,(0.2),3.7,,61.9,10.0,16.7," 1,493 ",9.6,31.7,53.4,-4.0,29.9,7.0,,84.3,1.90,,"66,220",2.1,245.1,13.9,55.9,175.2,"31,731","4,835","4,637","22,259",,8.4,16.4,,1.13,36.3,45.9,8.5,,"1,154","2,022",,534.3,,22.5,51.5,,2.3,,166,,3.8,131.0,5.5,,20.1,48.9,31.0,25.2,,18.5,23.9,13.6,28.5,0.6,5.8,1.4,,7.1,0.1,,47.1,6.4,2.2
UR,,36.1,2.0,34.2,,20.4,59.9,19.7,88.4,11.9,,4.6,1.1,9.2,9.7,15,2.4,,93.3,(0.7),(2.9),X,(2.7),,78.9,(4.4),9.7," 1,076 ",1.9,23.6,24.2,-5.5,20.1,53.9,,82.2,1.01,,"53,347",2.2,18.4,1.5,5.4,11.5,"2,790",607,420,"1,763",,14.1,11.7,,1.92,50.6,45.3,5.6,,143,244,,543.8,,10.6,58.1,,1.3,,94,,1.8,151.4,5.0,,27.2,47.4,25.3,27.4,,*,26.8,*,44.1,*,*,,,26.3,,,18.7,3.0,2.2
SZ,,155.9,6.2,183.1,,19.8,63.1,17.1,82.0,20.7,,5.2,1.7,10.1,7.3,66,2.3,,89.7,2.1,2.9,(0.3),6.5,,59.8,11.1,19.1, 908 ,6.1,31.5,40.5,-3.5,33.7,19.7,,82.9,1.79,,"59,867",2.9,80.2,4.4,20.6,55.1,"15,184","1,698","2,461","11,025",,11.5,15.0,,1.45,43.3,48.7,7.1,,299,548,,639.1,,17.8,58.9,,1.4,,146,,1.9,151.0,4.5,,19.4,47.9,32.7,23.1,,20.6,19.5,13.1,42.6,*,2.8,,,1.4,,,27.3,6.1,3.0
OW,,37.4,5.0,77.8,,20.4,61.6,18.0,27.4,14.7,,4.1,1.6,9.9,6.6,16,2.3,,91.0,(1.2),(2.2),X,(3.8),,71.6,7.8,13.5, 491 ,3.8,34.2,36.9,-4.3,40.7,18.6,,84.3,0.89,,"66,019",1.9,21.9,1.7,7.2,13.0,"3,681",669,560,"2,452",,32.8,12.1,,0.61,47.5,47.3,7.1,,339,614,,594.5,,15.4,57.4,,1.1,,120,,2.2,142.1,4.3,,22.7,50.3,27.0,21.8,,*,*,*,34.5,*,*,,,,,,42.9,3.3,1.8
NW,,42.6,3.7,176.3,,18.5,62.1,19.4,50.7,14.2,,5.3,1.4,9.4,7.0,19,2.3,,91.6,(1.3),(3.3),0.5,(4.9),,68.0,9.2,17.5, 276 ,5.4,27.8,37.0,-3.4,33.3,24.3,,83.4,1.12,,"70,259",1.0,23.6,1.3,6.9,15.4,"4,109",477,596,"3,036",,17.7,13.4,,1.55,39.9,49.0,5.4,,133,215,,623.1,,12.6,63.0,,1.0,,129,,1.8,134.4,4.7,,18.5,49.2,32.3,24.9,,*,*,*,82.8,*,*,,,,,,26.6,3.3,0.9
GL,,40.1,4.0,59.0,,19.4,61.2,19.4,76.2,23.7,,4.5,2.0,10.3,9.2,18,2.2,,87.4,(0.9),5.8,X,(3.5),,31.6,32.0,21.3, 685 ,2.9,17.1,30.0,-3.9,30.8,36.2,,83.1,2.12,,"68,116",0.6,21.9,1.1,8.0,12.8,"3,291",395,603,"2,293",,27.3,18.5,,1.68,50.4,49.3,4.4,,61,128,,580.4,,16.9,55.1,,1.8,,152,,3.5,160.7,5.5,,25.6,53.5,20.9,20.6,,*,*,45.0,*,*,*,51.5,,,,,33.4,6.1,2.7
ZG,,123.9,9.6,598.3,,20.3,63.2,16.5,100.0,27.5,,5.3,1.8,11.2,6.1,53,2.3,,82.5,3.1,4.2,(0.2),10.5,,51.3,14.1,22.3, 239 ,13.8,27.5,43.4,-6.0,27.4,15.4,,81.6,2.42,,"152,708",2.8,109.0,1.9,21.7,85.5,"17,673",607,"1,652","15,414",,14.8,18.7,,0.43,34.5,47.1,6.9,,141,291,,648.0,,27.4,45.8,,1.7,,206,,4.6,134.5,4.8,,14.6,41.4,44.0,29.4,,17.6,26.4,13.8,30.5,*,3.6,,,7.2,,,44.2,3.7,3.9
