Name;Duration;Ranking;Genre;Mood;year
The lord of the rings I;219;4;Fantastique;Travel;2001
The lord of the rings II;234;5;Fantastique;Travel;2003
The lord of the rings III;262;5;Fantastique;Travel;2005
Fast and furious 1;107;1;Action;Entertained;1995
Skyfall;144;5;Action;Entertained;2012
Star wars 3;146;5;Sci;Travel;2006
Star wars 7;135;3;Sci;Travel;2014
Le prénom;109;5;Comedy;Laugh;2002
Tenet;150;4;Action;Entertained;2020
Ad astra;124;2;Sci;Entertained;2019
Le meilleur reste à venir;118;4;Drama;Emotions;2019
Crazy Stupid Love;158;3;Romantique;Sad;2007
